major_category	major_preprocessed	major_original	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
agriculture & natural resources	agricultur busi	Agriculture Business	4	3	0	1	0	0	0	0	2	4	4	2	3	2	0	0	0	0	4	0	0	0	3	0	3	4	2	0	4	3	2	1	4	4	3	0	4	0	4	0	3	1	4	3	4	4	4	4
agriculture & natural resources	agricultur	agriculture	2	3	0	1	2	1	1	1	4	4	4	1	4	3	2	1	0	1	3	0	4	1	0	2	4	1	0	3	0	1	2	1	0	2	0	0	1	0	0	0	3	1	2	1	0	1	0	1
agriculture & natural resources	agricultur	Agriculture	4	3	2	0	3	3	2	3	3	4	3	4	4	4	3	4	1	1	2	2	2	3	2	3	3	3	3	3	1	2	2	3	3	2	1	2	3	1	3	2	4	3	2	2	3	3	1	2
agriculture & natural resources	food scienc	Food Science	1	0	2	0	0	0	3	0	3	4	4	1	2	4	3	3	0	1	0	0	0	3	0	0	3	4	1	1	3	3	3	3	2	3	2	0	2	1	1	3	0	4	3	0	0	2	0	3
agriculture & natural resources	anim scienc	Animal Sciences	1	3	1	2	0	1	0	2	4	4	4	4	4	4	4	3	4	4	3	4	4	4	4	3	2	4	4	4	4	2	4	2	1	0	2	2	0	0	2	0	0	0	1	0	0	0	0	0
agriculture & natural resources	agricultur	Ag Certified	3	0	0	0	0	0	0	0	3	3	3	0	2	3	2	3	0	0	0	0	0	0	0	0	4	4	4	3	3	3	3	2	0	0	1	0	1	0	0	0	3	0	2	3	0	0	3	3
agriculture & natural resources	agricultur	agriculture	4	1	1	2	2	3	3	2	4	4	3	2	3	4	3	3	0	0	0	0	1	0	2	1	4	3	3	2	3	4	3	3	2	3	1	1	3	2	3	3	1	1	1	1	1	2	1	1
agriculture & natural resources	agricultur	Agriculture 	4	3	0	3	3	3	3	1	1	3	4	4	4	0	4	3	0	4	1	0	4	0	3	4	3	3	0	1	1	3	3	1	0	0	1	0	3	0	1	4	1	1	3	1	1	1	1	4
agriculture & natural resources	food scienc	food science	1	1	1	1	1	1	2	1	3	3	2	2	1	2	2	1	2	2	2	1	1	1	2	1	3	3	3	2	3	3	3	3	2	2	2	2	3	2	1	2	3	2	3	3	3	2	2	1
agriculture & natural resources	food scienc	food science	1	1	1	1	1	2	2	1	3	4	3	1	2	3	2	2	3	2	3	3	2	3	1	1	3	3	3	3	3	2	2	2	1	2	1	2	0	1	3	1	1	1	2	0	2	2	2	0
agriculture & natural resources	agronomi	agronomy	2	1	0	0	0	0	1	0	3	4	2	0	2	3	2	2	4	3	2	4	3	4	3	2	2	3	3	2	2	3	3	3	3	1	2	0	1	1	3	1	2	1	1	0	0	2	0	0
agriculture & natural resources	agricultur engin	agricultural engineering	2	1	1	2	1	3	2	1	3	3	2	2	1	3	1	3	1	1	1	1	1	2	1	1	3	2	1	4	1	2	3	2	0	0	1	1	3	1	2	1	2	3	2	2	2	3	2	2
agriculture & natural resources	anim scienc	Animal Science 	2	0	3	3	0	3	1	1	3	4	4	4	4	4	4	4	2	4	3	3	3	4	3	3	3	2	2	3	4	3	3	1	3	0	2	1	2	1	1	4	0	0	0	0	2	3	1	2
agriculture & natural resources	anim scienc	Animal Science	0	0	0	0	2	0	0	0	4	4	4	4	4	4	4	4	0	0	0	4	0	4	4	0	2	4	4	4	4	4	4	2	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0
agriculture & natural resources	agronomi	Agronomy 	3	2	0	2	2	3	2	3	3	4	4	1	4	1	3	3	0	0	1	0	0	0	2	2	4	3	3	4	3	2	3	1	1	2	2	1	3	1	3	2	2	3	3	3	4	3	2	3
agriculture & natural resources	food scienc	Food Science	1	1	0	2	2	3	3	2	3	3	3	2	3	3	3	1	0	0	1	2	1	3	0	1	3	3	2	2	3	3	3	3	1	0	2	2	3	3	3	2	3	2	3	3	3	3	3	2
