college_major_category	college_major_preprocessed	college_major	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
	aattend	not aattended	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	2	2	3	0	1	1	2	3	2	2	3	0	0	2	1	1	0	2	0	3	2	0	0	0	0	0	0	0	0	0
	ab	abs	1	3	4	4	4	2	4	4	3	1	2	0	1	2	3	2	1	3	1	0	0	2	4	1	0	3	0	0	0	3	2	2	2	4	2	2	2	4	1	3	3	3	3	2	4	4	3	4
	aba therpi	ABA Therpy	0	0	1	0	0	0	0	0	3	2	2	4	3	2	2	2	0	2	2	0	0	0	0	0	3	4	4	1	4	4	4	4	0	2	0	0	3	0	0	0	2	3	2	3	3	4	0	2
	abm	ABM	2	0	1	1	0	0	1	0	0	0	0	0	0	1	1	4	2	3	2	3	2	4	2	3	1	3	2	3	3	4	4	4	2	3	2	3	3	4	3	3	2	3	2	3	3	2	3	3
	abm	ABM	2	1	2	0	0	0	0	0	4	4	3	4	1	2	1	1	2	2	2	2	2	4	4	3	2	2	4	1	4	4	4	4	1	1	1	0	2	2	1	2	1	2	0	0	2	1	0	1
	abm	ABM	1	2	1	0	3	2	2	1	2	3	2	1	2	3	1	2	3	3	3	3	2	4	2	3	3	4	4	4	4	4	4	4	4	3	3	2	2	3	2	3	2	2	2	2	1	3	1	1
	abm	ABM	4	2	1	2	1	1	2	1	2	3	4	3	2	1	1	1	2	3	3	1	2	1	2	2	4	4	4	4	4	3	2	4	2	3	3	4	2	4	2	2	4	3	4	3	1	2	2	3
	abm	ABM	3	2	2	1	2	0	2	1	2	4	1	2	2	1	2	1	4	2	3	2	0	3	3	2	4	4	4	3	4	3	3	4	4	3	3	3	2	4	4	4	4	4	2	3	0	2	4	4
	abm	ABM	3	0	0	0	1	0	4	0	3	2	3	3	3	3	4	2	2	3	1	2	3	0	0	2	2	3	0	0	1	1	2	2	4	3	3	0	3	4	2	3	1	1	1	2	3	4	2	4
	aborigin visual art	Aboriginal Visual Arts	3	2	0	0	0	0	0	0	4	2	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	2	3	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2
	aboult exract human motiv	aboult exracting human motivation	2	0	2	4	1	2	1	4	4	4	0	3	2	3	1	0	2	4	0	1	1	3	2	0	4	1	4	1	4	2	4	3	2	0	4	1	4	4	2	0	2	0	4	1	4	0	3	4
	acc	acc	4	3	3	4	4	3	4	2	0	0	0	4	2	0	2	0	0	4	2	0	4	0	3	4	2	0	0	1	0	1	0	0	2	0	3	0	4	3	4	0	3	2	3	0	4	3	3	4
	acci	accy	1	1	2	2	2	3	2	2	2	2	3	3	2	3	3	2	2	2	3	2	3	2	4	3	3	3	3	2	3	3	2	3	3	1	2	2	1	2	2	1	3	2	3	3	3	4	3	3
	accoumtimg	accoumtimg	2	3	0	1	0	2	2	3	4	2	3	4	3	0	3	0	2	0	3	2	3	3	1	2	0	4	3	3	3	4	4	2	1	2	0	1	1	2	1	2	0	0	0	0	3	2	0	0
	account account	Accounting CPA	2	0	0	0	0	1	1	1	3	3	3	0	4	1	1	3	3	2	3	2	4	4	3	1	2	2	2	0	2	1	1	1	0	1	2	2	4	2	2	3	2	1	2	1	1	2	3	1
	account bank	Accounting and Banking	0	2	0	0	0	0	0	0	3	1	0	2	3	3	3	0	0	1	1	0	0	2	0	2	3	4	2	0	3	0	0	3	0	0	3	0	2	2	0	1	2	0	2	2	0	2	1	0
	account bank financ	accounting and banking and finance	2	2	1	3	2	3	2	2	2	3	2	3	1	4	1	4	3	2	1	2	2	4	3	2	3	3	2	3	2	3	2	2	2	3	3	2	2	2	2	2	2	2	2	2	3	2	2	2
	account bank financ	Accounting & Banking/Finance	0	0	1	1	1	1	1	1	2	1	0	3	3	3	1	3	1	1	3	2	0	1	1	1	3	3	3	1	2	2	3	0	3	2	1	0	4	2	3	4	3	3	1	3	3	2	3	3
	account busi	Accounting and Business	2	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	3	4	3	4	2	4	3	2	3	3	3	2	3	4	4	2	2	1	4	1	3	2	3	0	2	0	1	2	0	1	2	1
	account busi	Accountancy/Business	2	1	0	0	0	3	0	0	2	3	3	4	3	3	2	4	2	2	3	0	0	2	0	3	4	4	1	2	3	3	4	4	2	2	3	1	4	4	0	4	4	3	3	4	4	4	4	4
	account busi	Accounting- business	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
	account busi	accounting/business 	4	0	4	0	0	0	1	0	2	2	3	2	2	2	0	0	0	1	0	0	0	3	0	0	3	4	2	1	3	3	1	3	4	2	4	0	4	1	2	0	4	3	4	4	3	4	4	4
	account busi administr	Accounting, Business Administration	2	3	1	2	2	2	2	3	2	2	2	2	2	2	3	1	2	1	3	2	0	2	2	1	2	3	2	1	4	1	1	3	0	0	3	1	3	1	2	1	3	1	3	3	3	3	2	2
